"rank","totalPoints","userID","nickname","onlineID","countryCode","driverRating","sportmanshipRating","class","manufacturer","round_1"
82,225,"54c6a483-881f-4787-b97f-8cd0e5d43557","Bracas","bbracas","PT","A+","S","GT1","AMG",225
83,223,"98dfd4b7-5cca-49f1-b2f3-09fed46fc6b3","Maikel Knight11","Maikel_Knight11","ES","A+","S","GT1","Peugeot",223
84,222,"c7339707-ac59-4aa9-ae0f-f198b5d6b1df","RDA_Keke","ke0410ke","IT","A+","S","GT1","Aston Martin",222
84,222,"8325ff53-3dd4-4c70-a3e2-b8c7d2695c59","SPORTEC_Atho","SPORTEC_Atho","FR","A+","S","GT1","Nissan",222
84,222,"48e4cb7a-0cdc-4877-bff2-e0c1a75418b3","Ferr-stappen","Ferr-Stappen","IT","A","S","GT1","Unknown",222
84,222,"dbf831e2-d3b3-4ad1-a9d9-dcf8b6a04f2e","A. Roca","albertsixer","ES","A+","S","GT1","Peugeot",222
88,221,"635a5c3e-31b8-4b59-a0db-fdeba4d9f70f","I K O A","remir201","GB","A+","S","GT1","AMG",221
89,219,"a374db76-81ee-4de6-899e-7df2c2832f31","P. Zsidek","ACTA_napPALI","SK","A+","S","GT1","Unknown",219
89,219,"f6fb7cb6-732a-4e3f-b2be-b41df9e1b8f1","YT Sparks","SparksTheory_YT","GB","A","S","GT1","Unknown",219
89,219,"4ced1290-7644-456c-891e-ef7c2a722280","MrIceColdAndy","MrIceColdAndy","GB","A","S","GT1","Suzuki",219
89,219,"abf41d91-fd0e-4901-aaab-bec5b75d47fc","StormflyVR46","BFeR_Stormfly","NL","A+","S","GT1","Unknown",219
93,218,"e1456db9-e0eb-4e46-a205-ee264620ef2d","B. McNab","Zorzil","GB","A","S","GT1","Dodge",218
94,217,"1e89f31c-4a2a-4020-9261-8e6740cb5ddf","W. PuNiShEr","LCMH_PuNiShEr","FR","A+","S","GT1","Ferrari",217
95,216,"1d692a8d-8022-4a07-8080-d9366948fe78","Cpt.Baba","Cpt_BabaM","DE","A","S","GT1","Porsche",216
96,215,"51d54ca7-c6de-4c5d-a875-57cfba84deb4","JensonJ","JensonJ30","ZA","A+","S","GT1","Subaru",215
97,214,"ac94e8d9-1dfc-40a8-9439-5c1b7b55f9ba","DR. GREGGS","DR_GREGGS134","GB","A+","S","GT1","AMG",214
98,213,"3a1c7daa-2b71-4359-820d-78f81db7c7c8","GoreteMatojo_OSS","OSS_GoreteMatojo","ES","A+","S","GT1","Aston Martin",213
99,212,"7f95549e-c1c9-455e-9f66-00937d2673f5","AnotherSimRacer","New1982","GB","A","S","GT1","McLaren",212
100,211,"0e56b778-6692-4751-bacb-02e19d968eac","Norman Power","NormanPowerPL","PL","A+","S","GT1","Mazda",211
