"rank","totalPoints","userID","nickname","onlineID","countryCode","driverRating","sportmanshipRating","class","manufacturer","round_1","round_2","round_3","round_4"
43,621,"6c514a1c-1336-4dc6-adec-11666c78c13d","P. Takács","averageracer12","HU","A+","S","GT1","Porsche",275,346,0,0
43,621,"eb5ae725-c06f-43e6-badc-6306b2811325","Anton.D","cap_bless","UA","A+","S","GT1","Honda",0,313,308,0
45,619,"d933703c-4716-4c7e-82a4-65c6c1a919f8","A.Parka","Dstinct_Tsunamee","PL","A+","S","GT1","Audi",282,0,337,0
45,619,"6ec06d04-f710-4090-bd3a-df228506785a","PRT_Lee Boon","Lee_Boon","IT","A+","S","GT1","Subaru",0,0,310,309
47,618,"875630ca-2f70-4cc3-abe4-36a4d93d928b","Jahy Sama","UGANDANCOMMANDO1","GB","A+","S","GT1","AMG",326,292,0,0
48,616,"a491ea4f-ef4f-4ab6-acb6-2a8b55881b3f","Lemony Squeez","lemonysqueez","GB","A+","S","GT1","Honda",0,312,304,0
49,614,"741b2645-2825-4356-9bb8-cd2c5b636502","A. Martínez","EPLF_Aron_Mtnez","ES","A+","S","GT1","Porsche",292,0,322,0
50,613,"c480295f-59fd-485e-b230-7a0e95458912","PRiMA_Kazuya","PRiMA_Kazuya","FR","A+","S","GT1","Nissan",297,0,0,316
51,611,"385712bd-f0b8-4e54-876e-c76c14685f5e","Insxnity-AE","Insxnity-AE","FR","A+","S","GT1","Jaguar",250,361,0,0
52,610,"d87eb0ca-cc25-459f-9265-e9e1f9aca627","DefCon_AC","DefCon_AC","GB","A+","S","GT1","Lexus",0,316,294,0
53,607,"7476f9e2-bf87-4835-94d0-0be8271f1bc3","A.Pikuliński","eRA_Adriano25","PL","A+","S","GT1","AMG",320,0,0,287
54,606,"82bf795f-e26d-4d06-89ff-c3e1afc5fa23","derek737","derek_737-1","CZ","A+","S","GT1","AMG",343,263,0,0
55,599,"43a30f98-b646-46ce-8ab1-2500573c1821","J. S. Needham","MarioSonic6464","GB","A+","S","GT1","Honda",313,286,0,0
56,597,"176ec1a6-a2e2-455e-9ef6-9f12352331fd","Rav Hub","RavHub","RU","A+","S","GT1","Ferrari",0,0,285,312
